ID,salary_perc,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_successes,player_successes,WS
howarjo01,0.162,26,0.8636363636363636,0.8522727272727273,2703,35.566,0.172,22.273,1,0,9.685749999999999
fishede01,0.193,32,0.98989898989899,0.7575757575757576,2732,27.878,0.082,13.638,2,0,4.667166666666667
houseed01,0.027,28,0.6382978723404256,0.010638297872340425,964,16.067,0.096,14.952,1,0,1.928
billuch01,0.18,30,0.8775510204081632,0.8775510204081632,3182,37.0,0.216,26.091,2,2,14.319
masonro01,0.014,26,0.7674418604651163,0.0,548,8.303,-0.01,8.338,1,0,-0.11416666666666668
varejan01,0.096,24,0.9901960784313726,0.058823529411764705,2379,23.554,0.164,17.847,3,0,8.12825
kamanch01,0.155,24,0.9146341463414634,0.8048780487804879,2176,29.013,0.064,12.9,0,0,2.9013333333333335
elyme01,0.016,28,0.36585365853658536,0.0,309,10.3,-0.047,5.2,5,0,-0.3025625
stevede01,0.019,25,1.0,1.0,2541,29.547,0.062,12.9,1,0,3.282125
pargoja01,0.033,27,1.0,0.08536585365853659,1710,20.854,0.056,13.4,0,0,1.995
pricero01,0.02,23,0.7073170731707317,0.012195121951219513,563,9.707,0.034,10.5,0,0,0.3987916666666667
azubuke01,0.012,23,0.5053763440860215,0.0967741935483871,684,14.553,0.086,13.741,1,0,1.2255
barnema02,0.054,26,0.9354838709677419,0.27956989247311825,2143,24.632,0.098,17.503,1,0,4.375291666666667
westda01,0.191,26,0.6341463414634146,0.6341463414634146,1900,36.538,0.131,18.9,0,0,5.185416666666667
wallage01,0.171,24,0.8780487804878049,0.8658536585365854,2640,36.667,0.14,19.8,0,0,7.7
willima03,0.021,21,0.9680851063829787,0.02127659574468085,1393,15.308,-0.004,11.737,1,0,-0.11608333333333333
udrihbe01,0.046,24,0.7941176470588235,0.00980392156862745,968,11.951,0.051,10.003,5,0,1.0285
bonnema01,0.048,26,0.6372549019607843,0.0,678,10.431,0.162,16.496,5,0,2.28825
stackje01,0.121,32,0.8295454545454546,0.09090909090909091,1784,24.438,0.122,18.286,1,0,4.5343333333333335
kaponja01,0.096,25,0.8255813953488372,0.4186046511627907,1844,25.972,0.114,14.149,1,0,4.3795
hinriki01,0.202,26,0.9782608695652174,0.9782608695652174,3201,35.567,0.171,18.67,1,1,11.403562500000001
