Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
107,Brad Miller,C,26,IND,6,6,22.5,3.0,6.7,.450,0.0,0.0,,3.0,6.7,.450,.450,2.7,3.7,.727,1.7,3.8,5.5,2.5,0.8,0.0,1.5,2.8,8.7,millebr01
108,Reggie Miller*,SG,37,IND,6,6,29.3,2.5,8.8,.283,0.7,4.2,.160,1.8,4.7,.393,.321,3.5,3.8,.913,0.2,2.2,2.3,2.3,0.2,0.2,1.2,1.5,9.2,millere01
109,Jérôme Moïso,C,24,NOH,4,0,15.0,2.5,4.0,.625,0.0,0.0,,2.5,4.0,.625,.625,0.8,1.0,.750,2.0,2.0,4.0,1.3,0.0,1.8,1.0,2.3,5.8,moisoje01
110,Dikembe Mutombo*,C,36,NJN,10,0,11.5,0.7,1.5,.467,0.0,0.0,,0.7,1.5,.467,.467,0.4,0.4,1.000,0.8,1.9,2.7,0.6,0.3,0.9,0.8,2.1,1.8,mutomdi01
111,Eduardo Nájera,SF,26,DAL,19,5,20.7,2.1,4.5,.453,0.0,0.0,,2.1,4.5,.453,.453,2.0,2.5,.792,1.9,2.0,3.9,0.8,0.7,0.2,0.8,2.8,6.1,najered01
112,Steve Nash*,PG,28,DAL,20,20,36.5,5.8,12.9,.447,1.9,3.8,.487,3.9,9.1,.431,.519,2.8,3.2,.873,0.8,2.8,3.5,7.3,0.9,0.1,2.6,2.4,16.1,nashst01
113,Rasho Nesterović,C,26,MIN,6,6,28.2,3.2,6.3,.500,0.0,0.0,,3.2,6.3,.500,.500,0.7,1.0,.667,1.5,3.5,5.0,0.7,0.2,0.7,0.8,4.7,7.0,nestera01
114,Dirk Nowitzki,PF,24,DAL,17,17,42.5,8.8,18.4,.479,1.6,3.6,.443,7.2,14.8,.488,.522,6.1,6.6,.912,0.9,10.6,11.5,2.2,1.2,0.9,2.4,3.1,25.3,nowitdi01
115,Jermaine O'Neal,PF,24,IND,6,6,45.3,7.2,15.3,.467,0.0,0.5,.000,7.2,14.8,.483,.467,8.5,10.8,.785,4.0,13.5,17.5,0.7,0.5,3.0,3.0,3.7,22.8,onealje01
116,Shaquille O'Neal*,C,30,LAL,12,12,40.1,10.1,18.8,.535,0.0,0.0,,10.1,18.8,.535,.535,6.8,11.0,.621,5.3,9.6,14.8,3.7,0.6,2.8,2.9,2.8,27.0,onealsh01
117,Mehmet Okur,PF,23,DET,17,0,19.0,2.1,4.7,.438,0.4,0.8,.538,1.6,3.9,.418,.481,1.0,1.9,.531,1.4,2.7,4.1,0.8,0.7,0.7,0.8,2.3,5.5,okurme01
118,Greg Ostertag,C,29,UTA,5,5,30.2,3.2,7.2,.444,0.0,0.0,,3.2,7.2,.444,.444,2.8,3.8,.737,3.8,4.8,8.6,1.6,0.6,1.8,1.6,3.4,9.2,ostergr01
119,Bo Outlaw,C,31,PHO,6,0,11.7,0.2,1.7,.100,0.0,0.0,,0.2,1.7,.100,.100,0.3,0.7,.500,1.0,1.2,2.2,0.8,0.2,0.2,1.0,3.2,0.7,outlabo01
120,Robert Pack,PG,33,NOH,4,0,10.5,1.5,3.3,.462,0.0,0.0,,1.5,3.3,.462,.462,0.8,0.8,1.000,0.0,0.3,0.3,1.0,0.0,0.0,0.3,2.3,3.8,packro01
121,Scott Padgett,PF,26,UTA,4,0,13.3,2.0,4.8,.421,0.5,1.8,.286,1.5,3.0,.500,.474,0.3,0.5,.500,1.5,0.8,2.3,1.0,0.8,0.0,1.3,1.5,4.8,padgesc01
122,Jannero Pargo,PG,23,LAL,11,0,11.7,0.7,2.2,.333,0.4,1.4,.267,0.4,0.8,.444,.417,0.3,0.4,.750,0.3,0.5,0.8,1.3,0.7,0.1,0.6,2.0,2.1,pargoja01
123,Tony Parker,PG,20,SAS,24,24,33.9,5.6,14.0,.403,0.6,2.3,.268,5.0,11.6,.430,.425,2.8,3.9,.713,0.3,2.4,2.8,3.5,0.9,0.1,2.0,2.1,14.7,parketo01
124,Ruben Patterson,SF,27,POR,7,0,22.1,3.6,7.4,.481,0.0,0.6,.000,3.6,6.9,.521,.481,2.9,4.1,.690,2.0,1.7,3.7,1.6,0.6,0.1,1.4,1.4,10.0,patteru01
125,Gary Payton*,PG,34,MIL,6,6,41.8,8.0,18.7,.429,0.2,2.5,.067,7.8,16.2,.485,.433,2.3,3.3,.700,0.7,2.3,3.0,8.7,1.3,0.2,2.2,3.0,18.5,paytoga01
126,Anthony Peeler,SG,33,MIN,6,5,27.7,2.2,6.3,.342,0.3,2.7,.125,1.8,3.7,.500,.368,0.2,0.3,.500,0.8,2.7,3.5,3.0,0.7,0.2,0.7,2.3,4.8,peelean01
127,Paul Pierce*,SG,25,BOS,10,10,44.5,7.7,19.3,.399,1.6,4.5,.356,6.1,14.8,.412,.440,10.1,11.7,.863,1.1,7.9,9.0,6.7,2.1,0.8,4.4,3.8,27.1,piercpa01
128,Scottie Pippen*,SF,37,POR,4,1,18.8,2.3,5.5,.409,0.8,2.3,.333,1.5,3.3,.462,.477,0.5,0.5,1.000,0.5,2.3,2.8,3.3,0.0,0.0,1.8,2.0,5.8,pippesc01
129,Scot Pollard,C,27,SAC,8,0,11.4,0.9,3.0,.292,0.0,0.0,,0.9,3.0,.292,.292,1.3,1.6,.769,2.1,1.6,3.8,0.3,0.1,0.9,0.9,1.9,3.0,pollasc01
130,Tayshaun Prince,SF,22,DET,15,3,25.5,3.3,7.7,.426,0.9,3.2,.292,2.3,4.5,.522,.487,1.9,2.5,.763,0.7,3.1,3.8,1.5,0.5,0.9,1.1,1.3,9.4,princta01
131,Joel Przybilla,C,23,MIL,4,3,8.3,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.5,2.0,2.5,0.3,0.0,0.5,0.3,2.8,0.5,przybjo01
132,Zach Randolph,PF,21,POR,7,4,29.3,4.6,8.7,.525,0.0,0.0,,4.6,8.7,.525,.525,4.7,5.3,.892,3.1,5.6,8.7,1.6,0.4,0.3,1.9,2.4,13.9,randoza01
133,Željko Rebrača,C,30,DET,4,0,7.3,1.5,4.3,.353,0.0,0.0,,1.5,4.3,.353,.353,1.3,1.8,.714,0.5,0.8,1.3,0.0,0.0,0.0,0.3,2.3,4.3,rebraze01
134,Michael Redd,SG,23,MIL,6,0,21.3,3.5,8.7,.404,0.5,2.0,.250,3.0,6.7,.450,.433,2.2,2.3,.929,1.5,2.0,3.5,1.8,0.3,0.2,1.2,2.5,9.7,reddmi01
135,Clifford Robinson,PF,36,DET,17,17,30.9,3.4,9.4,.358,1.3,3.5,.373,2.1,5.9,.350,.428,1.3,2.2,.595,0.8,1.9,2.7,2.9,0.9,0.8,1.6,3.6,9.3,robincl02
136,David Robinson*,C,37,SAS,23,23,23.4,2.8,5.1,.542,0.0,0.0,,2.8,5.1,.542,.542,2.3,3.4,.667,2.0,4.7,6.6,0.9,0.8,1.3,1.0,2.7,7.8,robinda01
137,Rodney Rogers,PF,31,NJN,20,0,17.5,2.3,6.1,.372,0.9,2.1,.405,1.4,4.0,.354,.442,1.4,1.9,.711,1.1,1.7,2.8,1.4,0.3,0.2,1.3,2.6,6.7,rogerro01
