const,ID,season,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_won_finals,team_lost_finals,team_lost_semifinals,team_lost_first_match,most_improved,most_valuable,most_valuable_finals,sixth_man,all_league
1.0,turneev01,2016,27.0,0.9886363636363636,0.18181818181818182,2485.0,28.563,0.085,14.523,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,nocioan01,2007,27.0,0.6847826086956522,0.33695652173913043,1603.0,25.444,0.14,16.889,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,howarju01,2011,37.0,0.6601941747572816,0.0,652.0,9.588,0.073,9.312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,jianlyi01,2011,23.0,0.7682926829268293,0.13414634146341464,1112.0,17.651,0.017,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,collida01,2017,29.0,0.8292682926829268,0.7804878048780488,2063.0,30.338,0.091,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,hillgr01,2007,34.0,0.8023255813953488,0.7906976744186046,2152.0,31.188,0.122,17.496,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,lopezbr01,2018,29.0,0.9024390243902439,0.8780487804878049,1735.0,23.446,0.105,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,cookda02,2012,24.0,0.8488372093023255,0.2558139534883721,1098.0,15.041,0.078,10.291,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,bynumwi01,2014,31.0,0.6829268292682927,0.036585365853658534,1054.0,18.821,0.046,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,tuckera01,2020,22.0,0.27848101265822783,0.0,172.0,7.818,0.06,9.809,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,holmeri01,2019,25.0,0.8536585365853658,0.04878048780487805,1184.0,16.914,0.174,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,brandel01,2003,23.0,0.7560975609756098,0.7439024390243902,2454.0,39.581,0.149,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,hicksjj01,2012,23.0,0.8181818181818182,0.2878787878787879,1244.0,23.037,0.066,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,burksal01,2020,28.0,0.9090909090909091,0.24675324675324675,1849.0,26.414,0.101,17.209,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,linje01,2016,27.0,0.9550561797752809,0.14606741573033707,2237.0,26.318,0.082,15.138,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,battito01,2011,34.0,0.4942528735632184,0.0,415.0,9.651,0.076,10.327,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,lamban01,2021,23.0,0.3333333333333333,0.041666666666666664,415.0,17.292,0.023,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,varejan01,2009,26.0,0.9895833333333334,0.5833333333333334,2726.0,28.695,0.167,16.968,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,pelleno01,2020,26.0,0.3246753246753247,0.0,239.0,9.56,0.062,10.931,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,perkike01,2010,25.0,0.9528301886792453,0.9528301886792453,2729.0,27.02,0.116,17.536,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,humphkr01,2014,28.0,0.8414634146341463,0.36585365853658536,1376.0,19.942,0.143,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,paytoel01,2018,23.0,0.7682926829268293,0.7682926829268293,1808.0,28.698,0.074,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,artesro01,2016,36.0,0.4268292682926829,0.06097560975609756,590.0,16.857,0.008,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,holliro01,2020,25.0,0.7831325301204819,0.07228915662650602,1161.0,17.862,0.145,15.698,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,ortonda01,2012,21.0,0.28169014084507044,0.028169014084507043,196.0,9.8,0.128,13.663,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,weberbr01,2017,24.0,0.24390243902439024,0.0,205.0,10.25,0.07,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,kaminfr01,2022,28.0,0.10975609756097561,0.0,181.0,20.111,0.239,21.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,gillan01,2022,29.0,0.5365853658536586,0.0,463.0,10.523,0.145,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,papagge01,2017,19.0,0.2682926829268293,0.0,355.0,16.136,0.054,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,leonaka01,2015,23.0,0.797752808988764,0.797752808988764,2283.0,32.155,0.203,24.447,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,duhonch01,2005,22.0,1.0,0.8863636363636364,2336.0,26.545,0.09,10.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,zelleco01,2017,24.0,0.7560975609756098,0.7073170731707317,1725.0,27.823,0.156,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,foyera01,2012,28.0,0.987012987012987,0.7662337662337663,1973.0,25.961,0.091,15.092,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,hamiljo02,2014,23.0,0.7317073170731707,0.14634146341463414,1019.0,16.983,0.075,12.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,radmavl01,2012,31.0,0.7083333333333334,0.041666666666666664,770.0,15.098,0.102,11.464,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,fosteje01,2011,34.0,0.7011494252873564,0.034482758620689655,1033.0,16.934,0.153,15.309,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,grantje02,2019,26.0,0.7241379310344828,0.011494252873563218,953.0,15.127,0.087,10.754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
